0,1,2,3
2022-12-20,(not set),282150,0
2022-12-20,SplashScreenActivity,226503,375267
2022-12-20,HomeActivity,217184,869981
2022-12-20,WheelFortuneActivity,165347,230699
2022-12-20,LockScreenBackgroundActivity,122669,1416322
2022-12-20,RewardDetailActivity,41288,68607
2022-12-20,SurveyAdvancedDetailActivity,38893,92781
2022-12-20,InboxActivity,36290,132589
2022-12-20,SurveyDetailActivity,34801,41833
2022-12-20,MainLauncherActivity,22579,53522
2022-12-20,MasukActivity,19658,55092
2022-12-20,AdsActivity,17556,28417
2022-12-20,InboxDetailActivity,15904,72689
2022-12-20,RegisterActivity,15588,33188
2022-12-20,CerpenActivity,15065,24702
2022-12-20,ProfileActivity,13539,32332
2022-12-20,DetailArtikelListWebActivity,10488,19770
2022-12-20,WebActivity,9656,12519
2022-12-20,VerifikasiActivity,9092,10806
2022-12-20,InterestsActivity,8422,9274
2022-12-20,ActivateLockscreenActivity,8338,8529
2022-12-20,InviteFriendActivity,7470,9426
2022-12-20,SignInHubActivity,6162,13960
2022-12-20,LupaPasswordActivity,5794,8656
2022-12-20,SettingLockscreenActivity,4803,6389
2022-12-20,CerpenChapterActivity,4564,10626
2022-12-20,FacebookActivity,4325,7172
2022-12-20,VerifyOtpLupaPasswordActivity,3860,5395
2022-12-20,ListArtikelActivity,3139,4330
2022-12-20,DetailCerpenActivity,2810,4749
2022-12-20,LockScreenActivity,2626,52500
2022-12-20,BrowserActivity,2616,3637
2022-12-20,PageNotifActivity,1939,2126
2022-12-20,HistoryActivity,1553,1926
2022-12-20,ForceUpdateActivity,1271,3957
2022-12-20,EditProfileActivity,1104,3330
2022-12-20,VideoActivity,1101,2249
2022-12-20,OptOutActivity,724,854
2022-12-20,InterestProfileActivity,702,808
2022-12-20,UnlockActivity,645,11981
2022-12-20,UpdatePasswordActivity,558,657
2022-12-20,ImagePickerActivity,451,944
2022-12-20,OAuthActivity,444,590
2022-12-20,UCropActivity,391,735
2022-12-20,PrivacyActivity,358,391
2022-12-20,FaqActivity,265,308
2022-12-20,MenuKoinActivity,213,776
2022-12-20,OnboardActivity,178,215
2022-12-20,KotaActivity,166,233
2022-12-20,MainMenuActivity,70,163
2022-12-20,SurveyHistoryAdvDetailActivity,39,62
2022-12-20,SignUpPersonalDetailsActivity,34,61
2022-12-20,ProvinceActivity,28,37
2022-12-20,DemoActivity,27,31
2022-12-20,SurveyHistoryDetailActivity,27,42
2022-12-20,DetailArtikelListActivity,25,35
2022-12-20,CropImageActivity,23,527
2022-12-20,VerifyOtpActivity,15,18
2022-12-20,AdActivity,13,22
2022-12-20,SurveyAdvSuksesActivity,11,22
2022-12-20,EnterVerificationActivity,7,7
2022-12-20,GoogleApiActivity,6,8
2022-12-20,SignUpInterestsActivity,6,6
2022-12-20,SuccesVerifiyActivity,6,6
2022-12-20,BidingActivity,5,5
2022-12-20,PengaturanActivity,5,6
2022-12-20,AboutActivity,4,4
2022-12-20,BantuanActivity,3,4
2022-12-20,RewardHistoryActivity,3,3
2022-12-20,BiddingHistoryActivity,1,1
2022-12-20,KompasActivity,1,1
2022-12-20,OffersActivity,1,1
2022-12-20,SurveyHistoryActivity,1,2
2022-12-21,(not set),288290,0
2022-12-21,SplashScreenActivity,230370,394419
2022-12-21,HomeActivity,217712,878166
2022-12-21,WheelFortuneActivity,164880,238149
2022-12-21,LockScreenBackgroundActivity,124451,1445785
2022-12-21,RewardDetailActivity,41706,72206
2022-12-21,SurveyAdvancedDetailActivity,39316,94828
2022-12-21,InboxActivity,35935,130571
2022-12-21,SurveyDetailActivity,34440,41349
2022-12-21,MainLauncherActivity,23691,59342
2022-12-21,MasukActivity,18838,55151
2022-12-21,RegisterActivity,15783,36979
2022-12-21,InboxDetailActivity,15460,71290
2022-12-21,CerpenActivity,14810,24429
2022-12-21,ProfileActivity,13550,33035
2022-12-21,AdsActivity,12290,20548
2022-12-21,DetailArtikelListWebActivity,11099,21467
2022-12-21,InviteFriendActivity,8559,10397
2022-12-21,VerifikasiActivity,8348,9815
2022-12-21,InterestsActivity,7723,8459
2022-12-21,ActivateLockscreenActivity,7651,7858
2022-12-21,SignInHubActivity,6493,15495
2022-12-21,WebActivity,6467,8420
2022-12-21,LupaPasswordActivity,5889,9160
2022-12-21,SettingLockscreenActivity,4794,6473
2022-12-21,FacebookActivity,4661,7950
2022-12-21,CerpenChapterActivity,4548,10300
2022-12-21,VerifyOtpLupaPasswordActivity,3807,5339
2022-12-21,ListArtikelActivity,3191,4383
2022-12-21,DetailCerpenActivity,2711,4408
2022-12-21,BrowserActivity,2582,3669
2022-12-21,LockScreenActivity,2572,53335
2022-12-21,HistoryActivity,1570,1929
2022-12-21,PageNotifActivity,1531,1725
2022-12-21,ForceUpdateActivity,1205,3598
2022-12-21,EditProfileActivity,1122,3533
2022-12-21,VideoActivity,1006,2050
2022-12-21,OptOutActivity,782,916
2022-12-21,InterestProfileActivity,744,834
2022-12-21,UnlockActivity,665,12295
2022-12-21,UpdatePasswordActivity,578,675
2022-12-21,OAuthActivity,484,613
2022-12-21,ImagePickerActivity,439,951
2022-12-21,UCropActivity,395,755
2022-12-21,PrivacyActivity,361,403
2022-12-21,FaqActivity,275,323
2022-12-21,OnboardActivity,193,220
2022-12-21,MenuKoinActivity,175,711
2022-12-21,KotaActivity,117,200
2022-12-21,MainMenuActivity,80,178
2022-12-21,ProvinceActivity,79,125
2022-12-21,SignUpPersonalDetailsActivity,59,150
2022-12-21,SurveyHistoryAdvDetailActivity,44,67
2022-12-21,DemoActivity,27,29
2022-12-21,SurveyHistoryDetailActivity,26,35
2022-12-21,DetailArtikelListActivity,24,30
2022-12-21,CropImageActivity,22,76
2022-12-21,SurveyAdvSuksesActivity,18,33
2022-12-21,AdActivity,16,17
2022-12-21,VerifyOtpActivity,16,20
2022-12-21,EnterVerificationActivity,14,16
2022-12-21,GoogleApiActivity,14,24
2022-12-21,SignUpInterestsActivity,12,12
2022-12-21,SuccesVerifiyActivity,12,12
2022-12-21,BidingActivity,4,4
